# This file generated 27-Sep-2019					
# A. Nohturfft					
# This data copied from Excel file: V1_X_Sem_X_2018_x_x.xlsx					
Cand.No	OSPE1	OSPE2	OSPE3	OSPE4	OSPE6
1001	C	A	B	A	C
1002	C	A	E	A	C
1003	C	C	E	A	B
1004	C	A	E	A	A
1005	C	A	E	A	C
1006	C	A	E	A	B
1007	B	A	E	A	B
1008	C	A	E	A	C
1009	C	A	E	A	C
1010	C	A	E	A	C
